node_id,node_type,activation_year,coverage_gain_pct,drive_time_reduction_hr,best_outbound_detour_ratio
METRO_DE_moenchengladbach,PERI_URBAN_HUB,2030,,,1.0
METRO_BG_burgas,PERI_URBAN_HUB,2030,,,1.002
METRO_ES_sabadell,PERI_URBAN_HUB,2030,,,1.002
METRO_PL_bialystok,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_37,RELAY_HUB,2030,,,
METRO_DE_altona,PERI_URBAN_HUB,2030,,,1.002
METRO_NL_utrecht,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_rostock,PERI_URBAN_HUB,2030,,,1.0
METRO_HU_debrecen,PERI_URBAN_HUB,2030,,,1.0
METRO_PL_wroclaw,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_kiel,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_123,RELAY_HUB,2030,,,
METRO_IT_busto_arsizio,PERI_URBAN_HUB,2030,,,1.001
NONMETRO_PT,DEMAND_NONMETRO,2030,,,
METRO_AT_favoriten,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_17,RELAY_HUB,2030,,,
METRO_DE_frankfurt_am_main,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_malaga,PERI_URBAN_HUB,2030,,,1.021
METRO_FI_turku,PERI_URBAN_HUB,2030,,,1.02
