year,lane_id,lane_type,truck_class,road_km,drive_time_hr,relay_flag,annual_flow,transport_cost_eur,co2_kg
2029,CAND_DE_koeln__METRO_SE_gothenburg,DC_HUB_VIA_RELAY,L,983.94,9.839,True,724.0,136915.25,73815.2
2029,CAND_DE_koeln__METRO_SE_malmo,DC_HUB_VIA_RELAY,L,787.98,7.88,True,724.0,109647.42,59114.3
2029,CAND_DE_koeln__METRO_AT_vienna,DC_HUB_VIA_RELAY,L,891.87,8.919,True,724.0,124103.71,66908.1
2029,CAND_DE_koeln__METRO_AT_graz,DC_HUB_VIA_RELAY,L,904.57,9.046,True,724.0,125870.92,67860.8
2029,CAND_DE_koeln__METRO_AT_linz,DC_HUB_VIA_RELAY,L,724.13,7.241,True,724.0,100762.69,54324.2
2029,CAND_DE_koeln__METRO_AT_favoriten,DC_HUB_VIA_RELAY,L,895.61,8.956,True,724.0,124624.13,67188.7
2029,CAND_DE_koeln__METRO_AT_donaustadt,DC_HUB_VIA_RELAY,L,897.28,8.973,True,724.0,124856.51,67313.9
2029,CAND_DE_koeln__METRO_FR_paris,DC_HUB_VIA_RELAY,L,483.03,4.83,True,724.0,67213.62,36236.9
2029,CAND_DE_koeln__METRO_FR_lyon,DC_HUB_VIA_RELAY,L,716.46,7.165,True,724.0,99695.41,53748.8
2029,CAND_DE_koeln__METRO_FR_nice,DC_HUB_VIA_RELAY,L,965.17,9.652,True,724.0,134303.41,72407.1
2029,CAND_DE_koeln__METRO_FR_nantes,DC_HUB_VIA_RELAY,L,892.61,8.926,True,724.0,124206.68,66963.6
2029,CAND_DE_koeln__METRO_FR_grenoble,DC_HUB_VIA_RELAY,L,776.53,7.765,True,724.0,108054.15,58255.3
2029,CAND_DE_koeln__METRO_FR_avignon,DC_HUB_VIA_RELAY,L,951.74,9.517,True,724.0,132434.62,71399.5
2029,CAND_DE_koeln__METRO_FR_rouen,DC_HUB_VIA_RELAY,L,537.75,5.378,True,724.0,74827.91,40342.0
2029,CAND_DE_koeln__METRO_FR_saint_etienne,DC_HUB_VIA_RELAY,L,768.21,7.682,True,724.0,106896.42,57631.1
2029,CAND_DE_koeln__METRO_FR_rennes,DC_HUB_VIA_RELAY,L,835.81,8.358,True,724.0,116302.96,62702.5
2029,CAND_DE_koeln__METRO_FR_tours,DC_HUB_VIA_RELAY,L,720.62,7.206,True,724.0,100274.27,54060.9
2029,CAND_DE_koeln__METRO_FR_le_havre,DC_HUB_VIA_RELAY,L,614.74,6.147,True,724.0,85541.07,46117.8
2029,CAND_DE_koeln__METRO_FR_cergy_pontoise,DC_HUB_VIA_RELAY,L,488.33,4.883,True,724.0,67951.12,36634.5
2029,CAND_DE_koeln__METRO_FR_angers,DC_HUB_VIA_RELAY,L,799.61,7.996,True,724.0,111265.73,59986.7
2029,CAND_DE_koeln__METRO_IT_milan,DC_HUB_VIA_RELAY,L,756.35,7.563,True,724.0,105246.1,56741.4
2029,CAND_DE_koeln__METRO_IT_turin,DC_HUB_VIA_RELAY,L,785.05,7.85,True,724.0,109239.71,58894.5
2029,CAND_DE_koeln__METRO_IT_bergamo,DC_HUB_VIA_RELAY,L,739.13,7.391,True,724.0,102849.94,55449.5
2029,CAND_DE_koeln__METRO_IT_bologna,DC_HUB_VIA_RELAY,L,944.86,9.449,True,724.0,131477.27,70883.4
2029,CAND_DE_koeln__METRO_IT_padova,DC_HUB_VIA_RELAY,L,857.74,8.577,True,724.0,119354.52,64347.7
2029,CAND_DE_koeln__METRO_IT_genoa,DC_HUB_VIA_RELAY,L,889.27,8.893,True,724.0,123741.92,66713.0
2029,CAND_DE_koeln__METRO_IT_busto_arsizio,DC_HUB_VIA_RELAY,L,729.82,7.298,True,724.0,101554.45,54751.1
2029,CAND_DE_koeln__METRO_IT_verona,DC_HUB_VIA_RELAY,L,817.06,8.171,True,724.0,113693.9,61295.8
2029,CAND_DE_koeln__METRO_IT_seregno,DC_HUB_VIA_RELAY,L,732.76,7.328,True,724.0,101963.55,54971.7
