node_id,node_type,country,cca2,city,lat,lng
METRO_ES_cordoba,metro,Spain,ES,Cordoba,37.8915,-4.77275
METRO_ES_vigo,metro,Spain,ES,Vigo,42.2328,-8.72264
METRO_ES_valladolid,metro,Spain,ES,Valladolid,41.6552,-4.72372
METRO_ES_gijon,metro,Spain,ES,Gijon,43.5357,-5.66152
METRO_ES_eixample,metro,Spain,ES,Eixample,41.389,2.16179
METRO_ES_l_hospitalet_de_llobregat,metro,Spain,ES,L'Hospitalet de Llobregat,41.3597,2.10028
METRO_ES_latina,metro,Spain,ES,Latina,41.4661,12.9043
METRO_ES_carabanchel,metro,Spain,ES,Carabanchel,40.3909,-3.7242
METRO_ES_a_coruna,metro,Spain,ES,A Coruna,43.3713,-8.396
METRO_ES_puente_de_vallecas,metro,Spain,ES,Puente de Vallecas,40.3935,-3.662
METRO_ES_sant_marti,metro,Spain,ES,Sant Marti,41.4181,2.19933
METRO_ES_gasteiz_vitoria,metro,Spain,ES,Gasteiz / Vitoria,42.85,-2.67268
METRO_ES_granada,metro,Spain,ES,Granada,37.1882,-3.60667
METRO_ES_elche,metro,Spain,ES,Elche,38.2622,-0.70107
METRO_ES_ciudad_lineal,metro,Spain,ES,Ciudad Lineal,40.445,-3.65132
METRO_ES_oviedo,metro,Spain,ES,Oviedo,43.3603,-5.84476
METRO_ES_santa_cruz_de_tenerife,metro,Spain,ES,Santa Cruz de Tenerife,28.4682,-16.2546
METRO_ES_fuencarral_el_pardo,metro,Spain,ES,Fuencarral-El Pardo,40.4984,-3.7314
METRO_ES_badalona,metro,Spain,ES,Badalona,41.45,2.24741
METRO_ES_cartagena,metro,Spain,ES,Cartagena,37.6051,-0.98623
METRO_ES_terrassa,metro,Spain,ES,Terrassa,41.5667,2.01667
METRO_ES_jerez_de_la_frontera,metro,Spain,ES,Jerez de la Frontera,36.6865,-6.13606
METRO_ES_sabadell,metro,Spain,ES,Sabadell,41.5433,2.10942
METRO_ES_mostoles,metro,Spain,ES,Mostoles,40.3223,-3.86496
METRO_ES_alcala_de_henares,metro,Spain,ES,Alcala de Henares,40.4821,-3.35996
METRO_ES_pamplona,metro,Spain,ES,Pamplona,42.8169,-1.64323
METRO_ES_fuenlabrada,metro,Spain,ES,Fuenlabrada,40.2842,-3.79415
METRO_ES_almeria,metro,Spain,ES,Almeria,36.8381,-2.45974
METRO_ES_leganes,metro,Spain,ES,Leganes,40.3272,-3.7635
METRO_ES_san_sebastian,metro,Spain,ES,San Sebastian,43.3128,-1.97499
METRO_ES_sants_montjuic,metro,Spain,ES,Sants-Montjuic,41.3726,2.1546
METRO_ES_santander,metro,Spain,ES,Santander,43.4647,-3.80444
METRO_ES_castello_de_la_plana,metro,Spain,ES,Castello de la Plana,39.9857,-0.04935
METRO_ES_burgos,metro,Spain,ES,Burgos,42.3411,-3.70184
METRO_ES_albacete,metro,Spain,ES,Albacete,38.9942,-1.85643
METRO_ES_horta_guinardo,metro,Spain,ES,Horta-Guinardo,41.4185,2.1677
METRO_ES_alcorcon,metro,Spain,ES,Alcorcon,40.3458,-3.82487
METRO_ES_getafe,metro,Spain,ES,Getafe,40.3057,-3.73295
METRO_ES_nou_barris,metro,Spain,ES,Nou Barris,41.4416,2.17727
METRO_CH_zurich,metro,Switzerland,CH,Zurich,47.3667,8.55
METRO_CH_geneva,metro,Switzerland,CH,Geneva,46.2022,6.14569
METRO_CH_basel,metro,Switzerland,CH,Basel,47.5584,7.57327
METRO_CH_lausanne,metro,Switzerland,CH,Lausanne,46.516,6.63282
METRO_CH_bern,metro,Switzerland,CH,Bern,46.9481,7.44744
METRO_BG_sofia,metro,Bulgaria,BG,Sofia,42.6975,23.3242
METRO_BG_plovdiv,metro,Bulgaria,BG,Plovdiv,42.15,24.75
METRO_BG_varna,metro,Bulgaria,BG,Varna,43.2167,27.9167
METRO_BG_burgas,metro,Bulgaria,BG,Burgas,42.5061,27.4678
METRO_HR_zagreb,metro,Croatia,HR,Zagreb,45.8144,15.978
METRO_HR_split,metro,Croatia,HR,Split,43.5089,16.4391
