year,node_id,assigned_cand,t_base_hr,units,node_type,last_mile_hours,last_mile_hours_nonmetro,last_mile_hours_final,drive_time_hr,rest_time_hr,travel_elapsed_hr,otd_hours,otd_days_promise,otd_bucket,purchase_prob,reachable_units,revenue,reachable_revenue
2027,METRO_NL_breda,CAND_DE_koeln,2.013694318,42,metro,24.0,,24.0,2.013694318,0.0,2.013694318,26.013694318,1,1,0.95,39.9,19051.2,18098.64
2027,METRO_LU_luxembourg,CAND_DE_koeln,1.897030217,20,metro,24.0,,24.0,1.897030217,0.0,1.897030217,25.897030217,1,1,0.95,19.0,9072.0,8618.4
2027,NONMETRO_BE,CAND_DE_koeln,1.825183961,1743,non_metro,,24.0,24.0,1.825183961,0.0,1.825183961,25.825183961,1,1,0.995,1734.285,789960.0,786010.2
2027,NONMETRO_DE,CAND_DE_koeln,2.618811449,14630,non_metro,,48.0,48.0,2.618811449,0.0,2.618811449,50.618811449,2,2,0.98,14337.4,6636240.0,6503515.2
2027,NONMETRO_LU,CAND_DE_koeln,1.684170087,155,non_metro,,24.0,24.0,1.684170087,0.0,1.684170087,25.684170087,1,1,0.995,154.225,71040.0,70684.8
2027,NONMETRO_NL,CAND_DE_koeln,2.668831531,3473,non_metro,,48.0,48.0,2.668831531,0.0,2.668831531,50.668831531,2,2,0.98,3403.54,1575240.0,1543735.2
2028,METRO_BE_brussels,CAND_DE_koeln,2.192080312,976,metro,8.0,,8.0,2.192080312,0.0,2.192080312,10.192080312,0,0,1.0,976.0,442713.6,442713.6
2028,METRO_BE_antwerp,CAND_DE_koeln,2.168730063,484,metro,8.0,,8.0,2.168730063,0.0,2.168730063,10.168730063,0,0,1.0,484.0,219542.4,219542.4
2028,METRO_BE_liege,CAND_DE_koeln,1.232925711,313,metro,12.0,,12.0,1.232925711,0.0,1.232925711,13.232925711,0,0,1.0,313.0,141976.8,141976.8
2028,METRO_BE_gent,CAND_DE_koeln,2.719843547,218,metro,12.0,,12.0,2.719843547,0.0,2.719843547,14.719843547,0,0,1.0,218.0,98884.8,98884.8
2028,METRO_BE_charleroi,CAND_DE_koeln,2.230151033,190,metro,12.0,,12.0,2.230151033,0.0,2.230151033,14.230151033,0,0,1.0,190.0,86184.0,86184.0
2028,METRO_DE_berlin,CAND_PL_lodz,5.063899413,1616,metro,8.0,,8.0,5.063899413,0.0,5.063899413,13.063899413,0,0,1.0,1616.0,733017.6000000001,733017.6000000001
2028,METRO_DE_hamburg,CAND_DE_koeln,4.323124437,806,metro,8.0,,8.0,4.323124437,0.0,4.323124437,12.323124437,0,0,1.0,806.0,365601.6,365601.6
