  ,node_id,assigned_cand,t_base_hr,units
2027,NONMETRO_BE,CAND_DE_koeln,1.825183961,1743
2027,NONMETRO_DE,CAND_DE_koeln,2.618811449,14630
2027,NONMETRO_LU,CAND_DE_koeln,1.684170087,155
2027,NONMETRO_NL,CAND_DE_koeln,2.668831531,3473
2028,METRO_BE_brussels,CAND_DE_koeln,2.192080312,976
2028,METRO_BE_antwerp,CAND_DE_koeln,2.168730063,484
2028,METRO_BE_liege,CAND_DE_koeln,1.232925711,313
2028,METRO_BE_gent,CAND_DE_koeln,2.719843547,218
2028,METRO_BE_charleroi,CAND_DE_koeln,2.230151033,190
2028,METRO_DE_berlin,CAND_PL_lodz,5.063899413,1616
2028,METRO_DE_hamburg,CAND_DE_koeln,4.323124437,806
2028,METRO_DE_munich,CAND_DE_koeln,5.471794971,723
2028,METRO_DE_koeln,CAND_DE_koeln,0,436
2028,METRO_DE_frankfurt_am_main,CAND_DE_koeln,1.831562636,306
2028,METRO_DE_duesseldorf,CAND_DE_koeln,0.4114939,291
2028,METRO_DE_stuttgart,CAND_DE_koeln,3.450423452,288
2028,METRO_DE_leipzig,CAND_DE_koeln,4.570199404,277
2028,METRO_DE_dresden,CAND_PL_lodz,4.867843755,270
2028,METRO_DE_dortmund,CAND_DE_koeln,0.887796304,266
2028,METRO_DE_essen,CAND_DE_koeln,0.700198958,262
2028,METRO_DE_bremen,CAND_DE_koeln,3.239641245,257
2028,METRO_DE_hannover,CAND_DE_koeln,2.997415602,243
2028,METRO_DE_duisburg,CAND_DE_koeln,0.683807755,240
2028,METRO_DE_nuernberg,CAND_DE_koeln,4.039801255,230
2028,METRO_DE_wandsbek,CAND_DE_koeln,4.36384593,187
2028,METRO_DE_bochum,CAND_DE_koeln,0.764907729,173
2028,METRO_DE_bochum_hordel,CAND_DE_koeln,0.781523689,172
2028,METRO_DE_mannheim,CAND_DE_koeln,2.321838089,158
2028,METRO_DE_wuppertal,CAND_DE_koeln,0.461875759,157
2028,METRO_DE_bielefeld,CAND_DE_koeln,1.971032114,151
2028,METRO_DE_karlsruhe,CAND_DE_koeln,2.854364445,147
2028,METRO_DE_bonn,CAND_DE_koeln,0.292352573,145
2028,METRO_DE_marienthal,CAND_DE_koeln,4.346353532,131
2028,METRO_DE_hamburg_nord,CAND_DE_koeln,4.323561785,129
2028,METRO_DE_wiesbaden,CAND_DE_koeln,1.582430804,124
2028,METRO_DE_muenster,CAND_DE_koeln,1.483675152,126
2028,METRO_DE_gelsenkirchen,CAND_DE_koeln,0.772741568,122
2028,METRO_DE_aachen,CAND_DE_koeln,0.759313624,122
2028,METRO_DE_moenchengladbach,CAND_DE_koeln,0.543010145,119
2028,METRO_DE_augsburg,CAND_DE_koeln,4.827768955,121
2028,METRO_DE_eimsbuettel,CAND_DE_koeln,4.294472213,114
2028,METRO_DE_altona,CAND_DE_koeln,4.257425944,113
2028,METRO_DE_chemnitz,CAND_DE_koeln,5.033689449,113
2028,METRO_DE_braunschweig,CAND_DE_koeln,3.456275782,112
2028,METRO_DE_krefeld,CAND_DE_koeln,0.631936755,108
2028,METRO_DE_halle_saale,CAND_DE_koeln,4.266776708,107
2028,METRO_DE_hamburg_mitte,CAND_DE_koeln,4.296737237,107
2028,METRO_DE_kiel,CAND_DE_koeln,5.203684283,107
2028,METRO_DE_magdeburg,CAND_DE_koeln,4.197424254,105
2028,METRO_DE_neue_neustadt,CAND_DE_koeln,4.211057696,102
2028,METRO_DE_oberhausen,CAND_DE_koeln,0.730618916,99
